,Make,Model,Year,Distance,Engine_capacity(cm3),Price(euro),Vehicle_age,Distance_per_age,Style_Cabriolet,Style_Combi,Style_Coupe,Style_Crossover,Style_Hatchback,Style_Microvan,Style_Minivan,Style_Pickup,Style_Roadster,Style_SUV,Style_Sedan,Style_Universal,Fuel_type_Diesel,Fuel_type_Hybrid,Fuel_type_Metan/Propan,Fuel_type_Petrol,Fuel_type_Plug-in Hybrid,Transmission_Automatic,Transmission_Manual,Distance_per_year,Vehicle_age_sq,Log_Distance,Log_Vehicle_age,Engine_sq,Log_Engine,Age_x_Distance,Age_x_Engine,Distance_x_Engine,Distance_per_engine,Engine_per_age
115,0.008936607946508936,0.0038575286100038576,2012,194000,1800,9999,14,13857,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12933.333333333334,196,12.175618592671356,2.70805020110221,3240000,7.496097345175956,2716000,25200,349200000,107.71793448084398,120.0
116,0.016137328018516136,0.004178989327504179,2008,249000,2400,11500,18,13833,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,13105.263157894737,324,12.425212191503038,2.9444389791664403,5760000,7.783640596221253,4482000,43200,597600000,103.70678883798418,126.3157894736842
117,0.038253825382538256,0.002828854314002829,2008,142000,1100,3499,18,7889,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7473.684210526316,324,11.863589378812122,2.9444389791664403,1210000,7.00397413672268,2556000,19800,156200000,128.97366030881017,57.89473684210526
118,0.07191076250482191,0.0031503150315031502,2005,260000,1500,4750,21,12381,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11818.181818181818,441,12.468440756144114,3.091042453358316,2250000,7.313886831633462,5460000,31500,390000000,173.217854763491,68.18181818181819
119,0.07191076250482191,0.011058248682011058,2002,240000,2300,3499,24,10000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9600.0,576,12.388398368982115,3.2188758248682006,5290000,7.741099090035366,5760000,55200,552000000,104.30247718383312,92.0
120,0.0012858428700012858,0.0004178989327504179,2012,120000,2200,15999,14,8571,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,8000.0,196,11.695255355062795,2.70805020110221,4840000,7.696667081526462,1680000,30800,264000000,54.520672421626536,146.66666666666666
121,0.07191076250482191,0.029895846727529894,2010,182000,1800,11750,16,11375,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,10705.882352941177,256,12.111767460549332,2.833213344056216,3240000,7.496097345175956,2912000,28800,327600000,101.05496946141032,105.88235294117646
122,0.05799151343705799,0.020959238781020958,2005,300000,2000,4999,21,14286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,13636.363636363636,441,12.611541086966115,3.091042453358316,4000000,7.601402334583733,6300000,42000,600000000,149.92503748125938,90.9090909090909
123,0.06882473961681883,0.030442329947280442,2008,310000,1300,4850,18,17222,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,16315.78947368421,324,12.644330802262578,2.9444389791664403,1690000,7.170888478512505,5580000,23400,403000000,238.2782475019216,68.42105263157895
124,0.05799151343705799,0.014883631220264884,2014,186000,1600,12300,12,15500,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,14307.692307692309,144,12.133507329024972,2.5649493574615367,2560000,7.3783837129967145,2232000,19200,297600000,116.17738913179262,123.07692307692308
125,0.11887617333161887,0.00045004500450045,2011,150000,2000,12800,15,10000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,9375.0,225,11.918397239722838,2.772588722239781,4000000,7.601402334583733,2250000,30000,300000000,74.96251874062969,125.0
126,0.07191076250482191,0.009258068664009259,2000,258000,2200,2999,26,9923,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,9555.555555555555,676,12.460718739865236,3.295836866004329,4840000,7.696667081526462,6708000,57200,567600000,117.21944570649704,81.48148148148148
127,0.07191076250482191,0.029895846727529894,2000,250000,2000,3199,26,9615,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,9259.25925925926,676,12.429220196836383,3.295836866004329,4000000,7.601402334583733,6500000,52000,500000000,124.9375312343828,74.07407407407408
128,0.10084222707985084,0.021023530924521024,2010,185000,1400,8990,16,11562,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10882.35294117647,256,12.128116509451258,2.833213344056216,1960000,7.244941546337007,2960000,22400,259000000,132.04853675945753,82.3529411764706
129,0.04323646650379324,0.017744631606017743,2016,151000,1500,13890,10,15100,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13727.272727272728,100,11.92504173829169,2.3978952727983707,2250000,7.313886831633462,1510000,15000,226500000,100.599600266489,136.36363636363637
131,0.08303330333033303,0.029670824225279672,2010,257110,1500,4999,16,16069,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,15124.117647058823,256,12.457263177247329,2.833213344056216,2250000,7.313886831633462,4113760,24000,385665000,171.29247168554298,88.23529411764706
132,0.046001028674296,0.005561270412755562,2016,167000,1500,12990,10,16700,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,15181.818181818182,100,12.025755079404917,2.3978952727983707,2250000,7.313886831633462,1670000,15000,250500000,111.25916055962692,136.36363636363637
